samples,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
3,0.8000637,0.48150474,0.3328521,0.4384391,0.48401707,0.44574922,0.27782986,0.32588944,0.35975382,0.49372894
3,0.81364316,0.9106206,0.3380026,0.7721837,0.58499086,0.37732473,0.5109312,0.3350714,0.44244915,0.47552764
3,0.7303135,0.8017819,0.5300236,0.55711097,0.36182767,0.58628106,0.036541432,0.2717846,0.4246091,0.479186
3,0.7339742,0.31699914,0.25967702,0.6782779,0.501562,0.5185857,0.2715564,0.3224107,0.40041497,0.3402338
3,0.70400214,0.48586345,0.29165208,0.41886118,0.4825169,0.42918175,0.34167108,0.14507362,0.48755503,0.5391625
3,0.7740203,0.49842304,0.3230756,0.45323345,0.4774267,0.5531378,0.28861362,0.33207688,0.55546594,0.51107824
3,0.73885584,0.75268435,0.38873088,0.7475332,0.4277969,0.3600853,0.53407717,0.5188061,0.18784818,0.6103087
2,0.7959645,0.7025508,0.65675896,0.25406754,0.4303246,0.36507767,0.4288028,0.40363005,0.4069906,0.27054414
3,0.82415605,0.45023248,0.4314546,0.23358592,0.61107767,0.5475039,0.39211723,0.32766873,0.5210589,0.31942356
3,0.7126312,0.4282937,0.4195614,0.4621509,0.5956817,0.5576606,0.3638995,0.29638916,0.43241864,0.53113365
3,0.66168493,0.6616523,0.17182805,0.50188416,0.5155108,0.40779513,0.6217953,0.43385214,0.3748502,0.49808908
3,0.7456834,0.4157142,0.35427302,0.45766738,0.77523196,0.3214201,0.41788614,0.18680428,0.6154938,0.5019038
3,0.61306024,0.48530728,0.21005255,0.5024943,0.5174927,0.43352056,0.34137547,0.16468662,0.3411956,0.64363384
3,0.6470691,0.6097623,0.38323677,0.44501853,0.5011958,0.48062515,0.15899318,0.2309257,0.5553844,0.59850365
3,0.64552236,0.6225219,0.31372076,0.6125149,0.61298275,0.40706903,0.20482951,0.11586729,0.5276897,0.50681776
3,0.73036045,0.5942839,0.53454787,0.4540161,0.66764593,0.2790771,0.2572599,0.08330765,0.38725016,0.58972406
3,0.78270954,0.47411922,0.49263152,0.42588335,0.60198617,0.4009781,0.35218495,0.16362076,0.55036336,0.571808
3,0.71420443,0.8732958,0.33740494,0.7853715,0.6044004,0.43578222,0.56637216,0.29653633,0.3135025,0.34927773
